TESTE_ID;INSERT_AM;INSERT_VON;UPDATE_AM;UPDATE_VON;LABOR_GROUP_ID;TEST_NR;NAME_KURZ;NAME_KURZ_10;NAME_LANG;NAME_STATISTIK;NAME_BEFUND;NAME_BEFUND_LANG;GUELTIG_AB;GUELTIG_BIS;EINHEIT_ID;TESTGRUPPE_ID;BEFUNDGRUPPE_ID;HOLGRUPPE_ID;BERECHNUNG_ANFOF;BERECHNUNG_FLAGF;BERECHNUNG_WERTF;ANZEIGE_NR;MATERIAL_ID;TEST_GESPERRT;ANFORDERUNG_BIS;TESTE_BESCHR_ID;MATERIAL_HOLBAR;NOT_TEST;RD_TEST;BD_TEST;SD_TEST;SOP_ABNAHME_ID;SOP_VERFAHREN_ID;SOP_ENTSORGEN_ID;GRAFIK_VORHANDEN;QUAKO_ANALYT_ID;LEISTUNG_TEST_NR;TESTE_ANZ;TESTE_INF;NAME_KURZ_FREMD;NAME_LANG_FREMD;METHODE;MATERIAL_FREMD;INSERT_VON_HAUS;ARBEITSPLATZ_ID;ZUSATZ_ANFO_NR;ZUSATZ_ANSICHT;TESTE_MASK_ID;ANHANG_TEST;LOESCHEN;VERDECKE_MOD_ERG;QC_ANZEIGE;VOL_EINHEIT;NICHTANFORDERBAR;NICHT_EINZELN_ANFORDERBAR;NICHT_ABRECHNEN;NICHT_STATISTIK;QC_UEBERWACHEN_GR;MAT_TESTE_MAT_ID
27,0;07.02.2003 09:45;;12.03.2013 10:51;;1,0;27,0;"UBG";"UBG   UR";"Ubg im Urin";;"Ubg im Urin";"Ubg im Urin";07.02.2003;;4445,0;;;;;;;;2,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;27,0;"UBG   UR";;"UBG   UR";"Ubg im Urin";;"UB";27,0;20,0;;;;;;;1,0;;;1,0;1,0;;;
28,0;07.02.2003 09:45;;12.03.2013 10:51;;1,0;28,0;"BILI";"BILI  UR";"Bili im Urin";;"Bili im Urin";"Bili im Urin";07.02.2003;;4445,0;;;;;;;;2,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;28,0;"BILI  UR";;"BILI  UR";"Bili im Urin";;"UB";28,0;20,0;;;;;;;1,0;;;1,0;1,0;;;
29,0;07.02.2003 09:45;;12.03.2013 10:51;;1,0;29,0;"BLUT";"BLUT  UR";"Blut im Urin";;"Blut im Urin";"Blut im Urin";07.02.2003;;4445,0;;;;;;;;2,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;29,0;"BLUT  UR";;"BLUT  UR";"Blut im Urin";;"UB";29,0;20,0;;;;;;;1,0;;;1,0;1,0;;;
30,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;30,0;"DIGIT";"DIGITOX";"Digitoxin";;"Digitoxin";"Digitoxin";07.02.2003;;36,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10130,0;30,0;"DIGITOX";;"DIGITOX";"Digitoxin";;"S";30,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
31,0;07.02.2003 09:45;;29.12.2015 11:41;;1,0;31,0;"GLUC-";"GLUC-LLI";"Glucose i.L.";;"Glucose i.L.";"Glucose im Liquor";07.02.2003;;3,0;;;;;;;;4,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;20030,0;31,0;"GLUC-LLI";;"GLUC-LLI";"Glucose i.L.";;"L";31,0;5,0;;;;;;;1,0;;;0,0;;;1,0;
1584,0;22.04.2003 19:27;;28.03.2018 10:19;;1,0;32,0;"LA-LI";"LA-LI";"Laktat i. Liquor";"";"Laktat i. Liquor";"Laktat im Liquor";22.04.2003;;33,0;;;;;;;;4,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;20070,0;32,0;"LA-LI";;"LA-LI";"Laktat i. Liqour";;"";1584,0;5,0;;"";;;;;1,0;;;0,0;;;4,0;
33,0;07.02.2003 09:45;;06.11.2009 11:55;;1,0;33,0;"SA_10";"SER-ARC1";"Serumarchiv-Probe";;"Serumarchiv-Probe";"Serumarchiv-Probe";07.02.2003;;4445,0;;;;;;;;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;33,0;"SA";;"SA";"Serumarchiv-Probe";;"S";33,0;16,0;;;;;;;0,0;;;0,0;1,0;1,0;;
34,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;34,0;"CHYL";"CHYL";"Chylomikronen";"";"Chylomikronen";"Chylomikronen";07.02.2003;;4445,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;34,0;"CHYL  ES";;"CHYL  ES";"Chylomikronen";;"S";34,0;5,0;;"";;;;;1,0;1,0;;0,0;;;;
35,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;35,0;"CHOL";"CHOL";"Cholesterin";;"Cholesterin";"Cholesterin";07.02.2003;;3,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10080,0;35,0;"CHOL";;"CHOL";"Cholesterin";;"S";35,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
37,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;37,0;"LP_A";"LP_A";"Lp (a)";;"Lp (a)";"Lp (a)";07.02.2003;;3,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;37,0;"LP_A";;"LP_A";"Lp (a)";;"S";37,0;5,0;;;;;;;1,0;1,0;;0,0;;;;
40,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;40,0;"P";"P";"Phosphat";"";"Phosphat";"Phosphat";07.02.2003;;3,0;;;;"0";"0";"0";;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10420,0;40,0;"Phosphat";;"P";"Phosphat";;"S";40,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
41,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;41,0;"GLUC";"GLUC";"Glucose";;"Glucose";"Glucose";07.02.2003;;3,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10230,0;41,0;"GLUC";;"GLUC";"Glucose";;"SD";41,0;5,0;;"";;;;;1,0;1,0;;0,0;;;1,0;
42,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;42,0;"HNST-";"HNST-N";"Harnstoff-N";;"Harnstoff-N";"Harnstoff-N";07.02.2003;;3,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10270,0;42,0;"HNST-N";;"HNST-N";"Harnstoff-N";;"SD";42,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
43,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;43,0;"FERRI";"FERRITIN";"Ferritin";"";"Ferritin";"Ferritin";07.02.2003;;36,0;;;;"0";"0";"0";;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10190,0;43,0;"Ferritin";;"FERRITIN";"Ferritin";;"";43,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
44,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;44,0;"CREA";"CREA";"Creatinin";"";"Creatinin";"Creatinin";07.02.2003;;3,0;;;;"0";"0";"0";;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10330,0;44,0;"Creatinin";;"CREA";"Creatinin";;"SD";44,0;5,0;;"";;;;;1,0;1,0;;0,0;;;1,0;
45,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;45,0;"K";"K";"Kalium";;"Kalium";"Kalium";07.02.2003;;33,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10320,0;45,0;"K";;"K";"Kalium";;"SD";45,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
47,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;47,0;"TRANS";"TRANSFER";"Transferrin";"";"Transferrin";"Transferrin";07.02.2003;;3,0;;;;"0";"0";"0";;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;47,0;"Transferrin";;"TRANSFER";"Transferrin";;"";47,0;5,0;;;;;;;1,0;1,0;;0,0;;;;
48,0;07.02.2003 09:45;;02.04.2008 15:07;;1,0;48,0;"ANA";"ANA";"Antinukleäre Antikör";"ANA";"Antinukleäre Antikör";"Zellkerne (ANA)";07.02.2003;;4444,0;;;;;;;;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;48,0;"ANA";;"ANA";"Antinukle{re Antik|rper (ANA)";;"S";48,0;13,0;;;;;;;1,0;;;0,0;;;;
49,0;07.02.2003 09:45;;02.10.2012 12:56;;1,0;49,0;"DS_DN";"DS_DNS";"Ak g. Doppelstrang-D";;"Ak g. Doppelstrang-D";"Doppelstrang-DNA (IFT)";07.02.2003;;4444,0;;;;;;;;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;49,0;"DS_DNS";;"DS_DNS";"Ak g. Doppelstrang-DNS (ds-DNS) i.Pkt.";;"S";49,0;13,0;;;;;;;1,0;;;0,0;;;;
54,0;07.02.2003 09:45;;12.03.2024 15:36;;1,0;54,0;"HCV";"HCV";"Anti-HCV (CLIA)";"";"Anti-HCV (CLIA)";"Anti-HCV (CLIA)";07.02.2003;;4445,0;;;;"0";"0";"0";;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;54,0;"Anti-HCV";;"HCV";"Anti-HCV";;"";54,0;5,0;;;;;;;1,0;;;0,0;;;;
56,0;07.02.2003 09:45;;16.11.2005 15:10;;1,0;56,0;"GBM_I";"GBM_IFT";"Ak g. glomerul. Basa";;"Ak g. glomerul. Basa";"GBM (IFT)";07.02.2003;;4444,0;;;;;;;;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;56,0;"GBM_IFT";;"GBM_IFT";"Ak g. glomerul. Basalmembr.(GBM)";;"S";56,0;13,0;;;;;;;1,0;;;0,0;;;;
62,0;07.02.2003 09:45;;25.02.2021 16:02;;1,0;62,0;"CRP";"CRP";"CRP";;"CRP";"CRP";07.02.2003;;3,0;;;;"0";"0";"0";;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10120,0;62,0;"CRP";;"CRP";"CRP";;"S";62,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
63,0;07.02.2003 09:45;;14.03.2024 12:12;;1,0;63,0;"HIV1/";"HIV-1/2";"HIV-1/2 (CLIA)";;"HIV-1/2 (CLIA)";"HIV-1/2 (CLIA)";07.02.2003;;4445,0;;;;;;;;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;63,0;"HIV1/2";;"HIV1/2";"HIV 1/2";;"S";63,0;5,0;;;;;;;1,0;;;0,0;;;;
66,0;07.02.2003 09:45;;12.03.2024 15:32;;1,0;66,0;"CMV_G";"CMV_G";"CMV IgG (CLIA)";"";"CMV IgG (CLIA)";"CMV IgG (CLIA)";07.02.2003;;4451,0;;;;"0";"0";"0";;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;66,0;"CMV-IgG";;"CMV_G";"CMV-IgG";;"";66,0;16,0;;;;;;;1,0;;;0,0;;;;
67,0;07.02.2003 09:45;;12.03.2024 15:32;;1,0;67,0;"CMV_M";"CMV_M";"CMV IgM (CLIA)";"";"CMV IgM (CLIA)";"CMV IgM (CLIA)";07.02.2003;;4445,0;;;;;;;;42,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;67,0;"CMV_M";;"CMV_M";"CMV-IgM";;"";67,0;16,0;;;;;;;1,0;;;0,0;;;;
69,0;07.02.2003 09:45;;27.09.2007 11:28;;1,0;69,0;"LEUKO";"LEUKO";"Leukozyten";;"Leukozyten";"Leukozyten";07.02.2003;;49,0;;;;;;;;5,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;1,0;40140,0;69,0;"LEUKO";;"LEUKO";"Leukozyten";;"E";69,0;10,0;;;;;;;1,0;2,0;;0,0;;;2,0;
70,0;07.02.2003 09:45;;27.09.2007 11:28;;1,0;70,0;"ERY";"ERY";"Erythrozyten";;"Erythrozyten";"Erythrozyten";07.02.2003;;50,0;;;;;;;;5,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40050,0;70,0;"ERY";;"ERY";"Erythrozyten";;"E";70,0;10,0;;;;;;;1,0;;;1,0;;;2,0;
71,0;07.02.2003 09:45;;27.09.2007 11:28;;1,0;71,0;"HB";"HB";"Hämoglobin";;"Hämoglobin";"Hämoglobin";07.02.2003;;22,0;;;;;;;;5,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40090,0;71,0;"HB";;"HB";"Hämoglobin";;"E";71,0;10,0;;;;;;;1,0;;;1,0;;;2,0;
72,0;07.02.2003 09:45;;27.09.2007 11:28;;1,0;72,0;"HKT";"HKT";"HKT";;"HKT";"Hämatokrit";07.02.2003;;15,0;;;;;;;;5,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40080,0;72,0;"HKT";;"HKT";"HKT";;"E";72,0;10,0;;;;;;;1,0;;;1,0;;;2,0;
73,0;07.02.2003 09:45;;16.11.2005 13:31;;1,0;73,0;"MCV";"MCV";"MCV";;"MCV";"MCV";07.02.2003;;23,0;;;;;;;;5,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40180,0;73,0;"MCV";;"MCV";"MCV";;"E";73,0;10,0;;;;;;;1,0;;;1,0;;;;
74,0;07.02.2003 09:45;;19.04.2007 16:22;;1,0;74,0;"MCH";"MCH";"MCH";;"MCH";"MCH";07.02.2003;;25,0;;;;;;;;5,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40190,0;74,0;"MCH";;"MCH";"MCH";;"E";74,0;10,0;;;;;;;1,0;;;1,0;1,0;1,0;;
75,0;07.02.2003 09:45;;19.04.2007 16:22;;1,0;75,0;"MCHC";"MCHC";"MCHC";;"MCHC";"MCHC";07.02.2003;;22,0;;;;;;;;5,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40200,0;75,0;"MCHC";;"MCHC";"MCHC";;"E";75,0;10,0;;;;;;;1,0;;;1,0;1,0;1,0;;
76,0;07.02.2003 09:45;;27.09.2007 11:28;;1,0;76,0;"THROM";"THROM";"Thrombozyten";;"Thrombozyten";"Thrombozyten";07.02.2003;;49,0;;;;;;;;5,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40170,0;76,0;"THROM";;"THROM";"Thrombozyten";;"E";76,0;10,0;;;;;;;1,0;;;1,0;;;2,0;
79,0;07.02.2003 09:45;;19.11.2007 16:32;;1,0;79,0;"AP";"AP";"Alk.Phosphatase";;"Alk.Phosphatase";"Alk.Phosphatase";07.02.2003;;7,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10030,0;79,0;"AP";;"AP";"Alk.Phosphatase";;"SI";79,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
80,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;80,0;"AMYL";"AMYL";"Amylase";;"Amylase";"Amylase";07.02.2003;;7,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;80,0;"AMYL";;"AMYL";"Amylase";;"SI";80,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
81,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;81,0;"BILI";"BILI";"Bilirubin gesamt";;"Bilirubin gesamt";"Bilirubin gesamt";07.02.2003;;3,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10040,0;81,0;"BILI";;"BILI";"Bilirubin gesamt";;"SI";81,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
82,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;82,0;"G-GT";"G-GT";"G-GT";;"G-GT";"G-GT";07.02.2003;;7,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10210,0;82,0;"G-GT";;"G-GT";"G-GT";;"SI";82,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
83,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;83,0;"LIP";"LIP";"Lipase";;"Lipase";"Lipase";07.02.2003;;7,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;83,0;"LIP";;"LIP";"Lipase";;"SI";83,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
84,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;84,0;"GOT";"GOT";"GOT";;"GOT";"GOT";07.02.2003;;7,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10240,0;84,0;"GOT";;"GOT";"GOT";;"SI";84,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
85,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;85,0;"GPT";"GPT";"GPT";;"GPT";"GPT";07.02.2003;;7,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10250,0;85,0;"GPT";;"GPT";"GPT";;"SI";85,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
86,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;86,0;"LDH";"LDH";"LDH";;"LDH";"LDH";07.02.2003;;7,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10350,0;86,0;"LDH";;"LDH";"LDH";;"SI";86,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
87,0;07.02.2003 09:45;;08.11.2024 10:23;;1,0;87,0;"CK";"CK";"CK";"";"CK";"CK";07.02.2003;;7,0;;;;"0";"0";"0";;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10110,0;87,0;"CK";;"CPK";"CK";;"SI";87,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
88,0;07.02.2003 09:45;;27.09.2007 11:27;;1,0;88,0;"QUICK";"QUICK";"Quick";"";"Quick";"Quick";07.02.2003;;15,0;;;;"0";"0";"0";;34,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10520,0;88,0;"Quick";;"QUICK";"Quick";;"P";88,0;3,0;;;;;;;1,0;;;0,0;;;3,0;
89,0;07.02.2003 09:45;;19.04.2007 16:22;;1,0;89,0;"INR";"INR";"INR";;"INR";"INR";07.02.2003;;4445,0;;;;;;;;34,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;89,0;"INR";;"INR";"INR";;"";89,0;3,0;;;;;;;1,0;;;0,0;1,0;1,0;;
90,0;07.02.2003 09:45;;27.09.2007 11:28;;1,0;90,0;"PTT";"PTT";"PTT";"";"PTT";"PTT";07.02.2003;;16,0;;;;"0";"0";"0";;34,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10390,0;90,0;"PTT";;"PTT";"PTT";;"P";90,0;3,0;;;;;;;1,0;;;0,0;;;3,0;
91,0;07.02.2003 09:45;;27.09.2007 11:23;;1,0;91,0;"PH";"PH";"pH";"";"pH";"pH";07.02.2003;;4445,0;;;;;;;;13,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40011,0;91,0;"PH";;"PH";"pH";;"H";91,0;5,0;;"";;;;;1,0;;;1,0;;;1,0;
92,0;07.02.2003 09:45;;27.09.2007 11:23;;1,0;92,0;"PO2";"PO2";"pO2";;"pO2";"pO2";07.02.2003;;39,0;;;;;;;;13,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40012,0;92,0;"PO2";;"PO2";"pO2";;"H";92,0;5,0;;;;;;;1,0;;;1,0;;;1,0;
93,0;07.02.2003 09:45;;27.09.2007 11:23;;1,0;93,0;"PCO2";"PCO2";"pCO2";;"pCO2";"pCO2";07.02.2003;;39,0;;;;;;;;13,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;40013,0;93,0;"PCO2";;"PCO2";"pCO2";;"H";93,0;5,0;;;;;;;1,0;;;1,0;;;1,0;
94,0;07.02.2003 09:45;;25.07.2012 16:13;;1,0;94,0;"HCO3";"HCO3";"HCO3";;"HCO3";"HCO3";07.02.2003;;33,0;;;;;;;;13,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;94,0;"HCO3";;"HCO3";"HCO3";;"H";94,0;5,0;;;;;;;1,0;;;1,0;;;;
95,0;07.02.2003 09:45;;16.04.2019 10:47;;1,0;95,0;"BE";"BE";"BE";"";"BE";"BE";07.02.2003;;33,0;;;;;;;;13,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;95,0;"BE";;"BE";"BE";;"H";95,0;5,0;;"";;;;;1,0;;;1,0;;;;
96,0;07.02.2003 09:45;;16.11.2005 13:31;;1,0;96,0;"O2-SA";"O2-SAT";"O2-Sättigung";"";"O2-Sättigung";"O2-Sättigung";07.02.2003;;15,0;;;;;;;;13,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;96,0;"O2-SAT";;"O2-SAT";"O2-Sättigung";;"H";96,0;5,0;;;;;;;1,0;;;1,0;;;;
97,0;07.02.2003 09:45;;19.11.2007 15:01;;1,0;97,0;"TSH E";"TSH";"TSH (sensitiv)";"";"TSH (sensitiv)";"TSH";07.02.2003;;4665,0;;;;;;;;1,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;10490,0;97,0;"TSH E";;"TSH";"TSH (sensitiv)";;"S";97,0;5,0;;;;;;;1,0;1,0;;0,0;;;1,0;
98,0;07.02.2003 09:45;;16.11.2005 15:10;;1,0;98,0;"D-DIM";"D-DIMERE";"D-Dimere";;"D-Dimere";"D-Dimere";07.02.2003;;5,0;;;;;;;;34,0;"0";;;0,0;1,0;1,0;1,0;1,0;;;;0,0;;98,0;"D-DIMERE";;"D-DIMERE";"D-Dimere";;"";98,0;3,0;;;;;;;1,0;;;0,0;;;;
