TEST_NR;NAME_LANG;NAME_BEFUND_LANG;GESCHLECHT;BIS_ALTER_TAGE;BIS_ALTER_MONATE;BIS_ALTER_JAHRE;BIS_ALTER;NORMALWERT_VON;NORMALWERT_BIS;BEURTEILUNG;QUELLE
70,0;"Erythrozyten";"Erythrozyten";"m";;;2,0;2,0;3,7;5,3;;
70,0;"Erythrozyten";"Erythrozyten";"m";;;6,0;6,0;3,9;5,3;;
70,0;"Erythrozyten";"Erythrozyten";"m";;;12,0;12,0;4,0;5,2;;
70,0;"Erythrozyten";"Erythrozyten";"m";;;18,0;18,0;4,5;5,3;;
70,0;"Erythrozyten";"Erythrozyten";"w";3,0;;;0,0;4,0;6,6;;
70,0;"Erythrozyten";"Erythrozyten";"w";7,0;;;0,1;3,9;6,3;;
70,0;"Erythrozyten";"Erythrozyten";"w";14,0;;;0,1;3,6;6,2;;
70,0;"Erythrozyten";"Erythrozyten";"w";;1,0;;0,4;3,0;5,5;;
70,0;"Erythrozyten";"Erythrozyten";"w";;2,0;;0,5;2,7;4,9;;
70,0;"Erythrozyten";"Erythrozyten";"w";;6,0;;0,9;3,1;4,5;;
70,0;"Erythrozyten";"Erythrozyten";"w";;;2,0;2,0;3,7;5,3;;
70,0;"Erythrozyten";"Erythrozyten";"w";;;6,0;6,0;3,9;5,3;;
70,0;"Erythrozyten";"Erythrozyten";"w";;;12,0;12,0;4,0;5,2;;
70,0;"Erythrozyten";"Erythrozyten";"w";;;18,0;18,0;4,1;5,1;;
71,0;"Hämoglobin";"Hämoglobin";"u";;;999,0;999,0;12,0;18,0;"";
71,0;"Hämoglobin";"Hämoglobin";"m";;;999,0;999,0;14,0;18,0;;
71,0;"Hämoglobin";"Hämoglobin";"m";3,0;;;0,0;14,5;22,5;;
71,0;"Hämoglobin";"Hämoglobin";"m";7,0;;;0,1;13,5;21,5;;
71,0;"Hämoglobin";"Hämoglobin";"m";14,0;;;0,1;12,5;20,5;;
71,0;"Hämoglobin";"Hämoglobin";"m";;1,0;;0,4;10,0;18,0;;
71,0;"Hämoglobin";"Hämoglobin";"m";;2,0;;0,5;9,0;14,0;;
71,0;"Hämoglobin";"Hämoglobin";"m";;6,0;;0,9;9,5;13,5;;
71,0;"Hämoglobin";"Hämoglobin";"m";;;2,0;2,0;10,5;13,5;;
71,0;"Hämoglobin";"Hämoglobin";"m";;;6,0;6,0;11,5;13,5;;
71,0;"Hämoglobin";"Hämoglobin";"m";;;12,0;12,0;11,5;15,5;;
71,0;"Hämoglobin";"Hämoglobin";"m";;;18,0;18,0;13,0;16,0;;
71,0;"Hämoglobin";"Hämoglobin";"w";3,0;;;0,0;14,5;22,5;;
71,0;"Hämoglobin";"Hämoglobin";"w";7,0;;;0,1;13,5;21,5;;
71,0;"Hämoglobin";"Hämoglobin";"w";14,0;;;0,1;12,5;20,5;;
71,0;"Hämoglobin";"Hämoglobin";"w";;1,0;;0,4;10,0;18,0;;
71,0;"Hämoglobin";"Hämoglobin";"w";;2,0;;0,5;9,0;14,0;;
71,0;"Hämoglobin";"Hämoglobin";"w";;6,0;;0,9;9,5;13,5;;
71,0;"Hämoglobin";"Hämoglobin";"w";;;2,0;2,0;10,5;13,5;;
71,0;"Hämoglobin";"Hämoglobin";"w";;;6,0;6,0;11,5;13,5;;
71,0;"Hämoglobin";"Hämoglobin";"w";;;12,0;12,0;11,5;15,5;;
71,0;"Hämoglobin";"Hämoglobin";"w";;;18,0;18,0;12,0;16,0;;
72,0;"HKT";"Hämatokrit";"m";;;999,0;999,0;37,0;50,0;;
72,0;"HKT";"Hämatokrit";"w";;;999,0;999,0;37,0;50,0;;
72,0;"HKT";"Hämatokrit";"m";3,0;;;0,0;45,0;67,0;;
72,0;"HKT";"Hämatokrit";"m";7,0;;;0,1;42,0;66,0;;
72,0;"HKT";"Hämatokrit";"m";14,0;;;0,1;39,0;63,0;;
72,0;"HKT";"Hämatokrit";"m";;1,0;;0,4;31,0;55,0;;
72,0;"HKT";"Hämatokrit";"m";;2,0;;0,5;28,0;42,0;;
72,0;"HKT";"Hämatokrit";"m";;6,0;;0,9;29,0;41,0;;
72,0;"HKT";"Hämatokrit";"m";;;2,0;2,0;33,0;39,0;;
72,0;"HKT";"Hämatokrit";"m";;;6,0;6,0;34,0;40,0;;
72,0;"HKT";"Hämatokrit";"m";;;12,0;12,0;35,0;45,0;;
72,0;"HKT";"Hämatokrit";"m";;;18,0;18,0;37,0;49,0;;
72,0;"HKT";"Hämatokrit";"w";3,0;;;0,0;45,0;67,0;;
72,0;"HKT";"Hämatokrit";"w";7,0;;;0,1;42,0;66,0;;
72,0;"HKT";"Hämatokrit";"w";14,0;;;0,1;39,0;63,0;;
72,0;"HKT";"Hämatokrit";"w";;1,0;;0,4;31,0;55,0;;
72,0;"HKT";"Hämatokrit";"w";;2,0;;0,5;28,0;42,0;;
72,0;"HKT";"Hämatokrit";"w";;6,0;;0,9;29,0;41,0;;
72,0;"HKT";"Hämatokrit";"w";;;2,0;2,0;33,0;39,0;;
72,0;"HKT";"Hämatokrit";"w";;;6,0;6,0;34,0;40,0;;
72,0;"HKT";"Hämatokrit";"w";;;12,0;12,0;35,0;45,0;;
72,0;"HKT";"Hämatokrit";"w";;;18,0;18,0;36,0;46,0;;
73,0;"MCV";"MCV";"w";;;999,0;999,0;80,0;100,0;;
73,0;"MCV";"MCV";"m";;;999,0;999,0;80,0;100,0;;
73,0;"MCV";"MCV";"m";3,0;;;0,0;95,0;121,0;;
73,0;"MCV";"MCV";"m";7,0;;;0,1;88,0;126,0;;
73,0;"MCV";"MCV";"m";14,0;;;0,1;86,0;124,0;;
73,0;"MCV";"MCV";"m";;1,0;;0,4;85,0;123,0;;
73,0;"MCV";"MCV";"m";;2,0;;0,5;77,0;115,0;;
73,0;"MCV";"MCV";"m";;6,0;;0,9;74,0;108,0;;
73,0;"MCV";"MCV";"m";;;2,0;2,0;70,0;86,0;;
73,0;"MCV";"MCV";"m";;;6,0;6,0;75,0;87,0;;
73,0;"MCV";"MCV";"m";;;12,0;12,0;77,0;95,0;;
73,0;"MCV";"MCV";"m";;;18,0;18,0;78,0;98,0;;
73,0;"MCV";"MCV";"w";3,0;;;0,0;95,0;121,0;;
73,0;"MCV";"MCV";"w";7,0;;;0,1;88,0;126,0;;
73,0;"MCV";"MCV";"w";14,0;;;0,1;86,0;124,0;;
73,0;"MCV";"MCV";"w";;1,0;;0,4;85,0;123,0;;
73,0;"MCV";"MCV";"w";;2,0;;0,5;77,0;115,0;;
73,0;"MCV";"MCV";"w";;6,0;;0,9;74,0;108,0;;
73,0;"MCV";"MCV";"w";;;2,0;2,0;70,0;86,0;;
73,0;"MCV";"MCV";"w";;;6,0;6,0;75,0;87,0;;
73,0;"MCV";"MCV";"w";;;12,0;12,0;77,0;95,0;;
73,0;"MCV";"MCV";"w";;;18,0;18,0;78,0;102,0;;
74,0;"MCH";"MCH";"w";;;999,0;999,0;28,0;32,0;;
74,0;"MCH";"MCH";"m";;;999,0;999,0;28,0;32,0;;
74,0;"MCH";"MCH";"m";;1,0;;0,4;28,0;40,0;;
74,0;"MCH";"MCH";"m";;2,0;;0,5;26,0;34,0;;
74,0;"MCH";"MCH";"m";;6,0;;0,9;25,0;35,0;;
74,0;"MCH";"MCH";"m";;;2,0;2,0;23,0;31,0;;
74,0;"MCH";"MCH";"m";;;6,0;6,0;24,0;30,0;;
74,0;"MCH";"MCH";"m";;;12,0;12,0;25,0;33,0;;
74,0;"MCH";"MCH";"m";;;18,0;18,0;25,0;35,0;;
74,0;"MCH";"MCH";"w";;1,0;;0,4;28,0;40,0;;
74,0;"MCH";"MCH";"w";;2,0;;0,5;26,0;34,0;;
74,0;"MCH";"MCH";"w";;6,0;;0,9;25,0;35,0;;
74,0;"MCH";"MCH";"w";;;2,0;2,0;23,0;31,0;;
74,0;"MCH";"MCH";"w";;;6,0;6,0;24,0;30,0;;
74,0;"MCH";"MCH";"w";;;12,0;12,0;25,0;33,0;;
74,0;"MCH";"MCH";"w";;;18,0;18,0;25,0;35,0;;
75,0;"MCHC";"MCHC";"u";;;999,0;999,0;29,5;36,0;;
75,0;"MCHC";"MCHC";"u";3,0;;;0,0;29,0;37,0;;
75,0;"MCHC";"MCHC";"u";;1,0;;0,4;28,0;38,0;;
75,0;"MCHC";"MCHC";"u";;2,0;;0,5;29,0;37,0;;
75,0;"MCHC";"MCHC";"u";;;2,0;2,0;30,0;36,0;;
75,0;"MCHC";"MCHC";"u";;;18,0;18,0;31,0;37,0;;
76,0;"Thrombozyten";"Thrombozyten";"u";;;999,0;999,0;150,0;400,0;;
76,0;"Thrombozyten";"Thrombozyten";"u";;2,0;;0,5;120,0;450,0;;
76,0;"Thrombozyten";"Thrombozyten";"u";;;18,0;18,0;150,0;450,0;;
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";30,0;;;0,3;60,0;320,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";30,0;;;0,3;60,0;320,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";30,0;;;0,3;60,0;320,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;11,0;;0,9;70,0;350,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;11,0;;0,9;70,0;350,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;11,0;;0,9;70,0;350,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;;3,0;3,0;125,0;320,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;;3,0;3,0;125,0;320,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;;3,0;3,0;125,0;320,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;;6,0;6,0;150,0;370,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;;6,0;6,0;150,0;370,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;;6,0;6,0;150,0;370,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;;9,0;9,0;150,0;440,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;;9,0;9,0;150,0;440,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;;9,0;9,0;150,0;440,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;;11,0;11,0;150,0;470,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;;11,0;11,0;150,0;530,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;;11,0;11,0;150,0;470,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;;13,0;13,0;160,0;500,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;;13,0;13,0;110,0;525,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;;13,0;13,0;160,0;500,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;;15,0;15,0;130,0;530,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;;15,0;15,0;55,0;305,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;;15,0;15,0;130,0;530,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;;19,0;19,0;60,0;270,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;;19,0;19,0;40,0;120,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;;19,0;19,0;60,0;270,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"u";;;999,0;999,0;40,0;120,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"w";;;999,0;999,0;40,0;120,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
79,0;"Alk.Phosphatase";"Alk.Phosphatase";"m";;;999,0;999,0;40,0;120,0;;"https://medlab-bochum.de/wp-content/uploads/KiGGS_Laborparameter1.pdf"
80,0;"Amylase";"Amylase";"u";;1,0;;0,4;0,0;10,0;;
80,0;"Amylase";"Amylase";"u";;;1,0;1,0;0,0;50,0;;
80,0;"Amylase";"Amylase";"u";;;18,0;18,0;0,0;100,0;;
80,0;"Amylase";"Amylase";"u";;;999,0;999,0;28,0;100,0;;
81,0;"Bilirubin gesamt";"Bilirubin gesamt";"u";1,0;;;0,0;1,4;8,7;;
81,0;"Bilirubin gesamt";"Bilirubin gesamt";"u";2,0;;;0,0;3,4;11,5;;
81,0;"Bilirubin gesamt";"Bilirubin gesamt";"u";5,0;;;0,1;1,5;12,0;;
81,0;"Bilirubin gesamt";"Bilirubin gesamt";"u";;;18,0;18,0;;1,2;;
81,0;"Bilirubin gesamt";"Bilirubin gesamt";"u";;;999,0;999,0;0,3;1,2;;
81,0;"Bilirubin gesamt";"Bilirubin gesamt";"u";7,0;;;0,1;;9,0;;
82,0;"G-GT";"G-GT";"u";;;999,0;999,0;;55,0;"";
82,0;"G-GT";"G-GT";"u";;;1,0;1,0;0,0;185,0;;
82,0;"G-GT";"G-GT";"u";;;3,0;3,0;0,0;87,0;;
82,0;"G-GT";"G-GT";"u";;;6,0;6,0;0,0;26,0;;
82,0;"G-GT";"G-GT";"u";;;12,0;12,0;0,0;31,0;;
82,0;"G-GT";"G-GT";"u";;;18,0;18,0;0,0;29,0;;
83,0;"Lipase";"Lipase";"u";;;999,0;999,0;;67,0;;
84,0;"GOT";"GOT";"u";;;1,0;1,0;0,0;72,0;;
84,0;"GOT";"GOT";"u";;;3,0;3,0;0,0;53,0;;
84,0;"GOT";"GOT";"u";;;6,0;6,0;0,0;50,0;;
84,0;"GOT";"GOT";"u";;;12,0;12,0;0,0;46,0;;
84,0;"GOT";"GOT";"u";;;18,0;18,0;0,0;31,0;;
84,0;"GOT";"GOT";"u";;;999,0;999,0;;50,0;;
85,0;"GPT";"GPT";"u";;;1,0;1,0;0,0;54,0;;
85,0;"GPT";"GPT";"u";;;3,0;3,0;0,0;32,0;;
85,0;"GPT";"GPT";"u";;;6,0;6,0;0,0;36,0;;
85,0;"GPT";"GPT";"u";;;12,0;12,0;0,0;44,0;;
85,0;"GPT";"GPT";"u";;;999,0;999,0;;50,0;;
86,0;"LDH";"LDH";"u";;;1,0;1,0;;451,0;;
86,0;"LDH";"LDH";"u";;;3,0;3,0;;344,0;;
86,0;"LDH";"LDH";"u";;;6,0;6,0;;316,0;;
86,0;"LDH";"LDH";"u";;;12,0;12,0;;323,0;;
86,0;"LDH";"LDH";"u";;;18,0;18,0;;271,0;;
86,0;"LDH";"LDH";"u";;;999,0;999,0;;247,0;;
87,0;"CK";"CK";"u";;;999,0;999,0;;171,0;"";
87,0;"CK";"CK";"u";1,0;;;0,0;;712,0;;
87,0;"CK";"CK";"u";5,0;;;0,1;;652,0;;
87,0;"CK";"CK";"u";;6,0;;0,9;;295,0;;
87,0;"CK";"CK";"u";;12,0;;0,9;;203,0;;
87,0;"CK";"CK";"u";;;3,0;3,0;;228,0;;
87,0;"CK";"CK";"u";;;6,0;6,0;;149,0;;
87,0;"CK";"CK";"u";;;12,0;12,0;;247,0;;
87,0;"CK";"CK";"u";;;17,0;17,0;;270,0;;
88,0;"Quick";"Quick";"u";;;999,0;999,0;70,0;130,0;;"Lentze 2007"
88,0;"Quick";"Quick";"u";1,0;;;0,0;55,0;100,0;;"Lentze 2007"
88,0;"Quick";"Quick";"u";5,0;;;0,1;58,0;100,0;;"Lentze 2007"
88,0;"Quick";"Quick";"u";;3,0;;0,6;65,0;100,0;;"Lentze 2007"
89,0;"INR";"INR";"u";;;999,0;999,0;;1,3;;
90,0;"PTT";"PTT";"u";1,0;;;0,0;;54,5;;"Lentze 2007"
90,0;"PTT";"PTT";"u";5,0;;;0,1;25,4;59,8;;"Lentze 2007"
90,0;"PTT";"PTT";"u";30,0;;;0,3;32,0;55,2;;"Lentze 2007"
90,0;"PTT";"PTT";"u";;3,0;;0,6;29,0;50,1;;"Lentze 2007"
90,0;"PTT";"PTT";"u";;6,0;;0,9;27,1;53,3;;"Lentze 2007"
