TEST_NR;NAME_KURZ_10;NAME_LANG;NAME_BEFUND_LANG;GUELTIG_AB;EINHEIT_NAME;NORMALWERT_VON;NORMALWERT_BIS;BEURTEILUNG;ARBEITSPLATZ_BEZ
30;DIGITOX;Digitoxin;Digitoxin;07.02.2003;ng/ml;10;30;;Chemie
31;GLUC-LLI;Glucose i.L.;Glucose im Liquor;07.02.2003;mg/dl;40;70;;Chemie
32;LA-LI;Laktat i. Liquor;Laktat im Liquor;22.04.2003;mmol/l;1,1;1,8;;Chemie
32;LA-LI;Laktat i. Liquor;Laktat im Liquor;22.04.2003;mmol/l;1,2;2,1;;Chemie
33;SER-ARC1;Serumarchiv-Probe;Serumarchiv-Probe;07.02.2003;;;;;Infektserologie
34;CHYL;Chylomikronen;Chylomikronen;07.02.2003;;;;negativ;Chemie
35;CHOL;Cholesterin;Cholesterin;07.02.2003;mg/dl;58;193;;Chemie
35;CHOL;Cholesterin;Cholesterin;07.02.2003;mg/dl;;224;;Chemie
35;CHOL;Cholesterin;Cholesterin;07.02.2003;mg/dl;;200;;Chemie
35;CHOL;Cholesterin;Cholesterin;07.02.2003;mg/dl;54;174;;Chemie
37;LP_A;Lp (a);Lp (a);07.02.2003;mg/dl;;30;;Chemie
39;PARATHOR_a;PTH (Parathormon int;PTH (Parathormon intakt);07.02.2003;pmol/l;;;;Chemie
39;PARATHOR_a;PTH (Parathormon int;PTH (Parathormon intakt);07.02.2003;pmol/l;1,2;8,8;;Chemie
40;P;Phosphat;Phosphat;07.02.2003;mg/dl;5;9,6;;Chemie
40;P;Phosphat;Phosphat;07.02.2003;mg/dl;3,4;6,2;;Chemie
40;P;Phosphat;Phosphat;07.02.2003;mg/dl;5;7,7;;Chemie
40;P;Phosphat;Phosphat;07.02.2003;mg/dl;2,5;4,5;;Chemie
41;GLUC;Glucose;Glucose;07.02.2003;mg/dl;60;100;;Chemie
41;GLUC;Glucose;Glucose;07.02.2003;mg/dl;74;106;;Chemie
41;GLUC;Glucose;Glucose;07.02.2003;mg/dl;62;104;;Chemie
41;GLUC;Glucose;Glucose;07.02.2003;mg/dl;21;85;;Chemie
41;GLUC;Glucose;Glucose;07.02.2003;mg/dl;60;100;;Chemie
41;GLUC;Glucose;Glucose;07.02.2003;mg/dl;46;77;;Chemie
41;GLUC;Glucose;Glucose;07.02.2003;mg/dl;49;88;;Chemie
41;GLUC;Glucose;Glucose;07.02.2003;mg/dl;48;91;;Chemie
42;HNST-N;Harnstoff-N;Harnstoff-N;07.02.2003;mg/dl;3;18,9;;Chemie
42;HNST-N;Harnstoff-N;Harnstoff-N;07.02.2003;mg/dl;5,5;22,1;;Chemie
42;HNST-N;Harnstoff-N;Harnstoff-N;07.02.2003;mg/dl;7,8;19,8;;Chemie
43;FERRITIN;Ferritin;Ferritin;07.02.2003;ng/ml;9;80;;Chemie
43;FERRITIN;Ferritin;Ferritin;07.02.2003;ng/ml;2;65;;Chemie
43;FERRITIN;Ferritin;Ferritin;07.02.2003;ng/ml;110;500;;Chemie
43;FERRITIN;Ferritin;Ferritin;07.02.2003;ng/ml;4;400;;Chemie
43;FERRITIN;Ferritin;Ferritin;07.02.2003;ng/ml;34;336;;Chemie
44;CREA;Creatinin;Creatinin;07.02.2003;mg/dl;0,8;1,3;;Chemie
44;CREA;Creatinin;Creatinin;07.02.2003;mg/dl;0,3;1;;Chemie
44;CREA;Creatinin;Creatinin;07.02.2003;mg/dl;0,3;0,7;;Chemie
44;CREA;Creatinin;Creatinin;07.02.2003;mg/dl;0,3;0,6;;Chemie
44;CREA;Creatinin;Creatinin;07.02.2003;mg/dl;0,4;1,3;;Chemie
44;CREA;Creatinin;Creatinin;07.02.2003;mg/dl;0,3;1,2;;Chemie
45;K;Kalium;Kalium;07.02.2003;mmol/l;3,2;5,4;;Chemie
45;K;Kalium;Kalium;07.02.2003;mmol/l;3,5;6,1;;Chemie
45;K;Kalium;Kalium;07.02.2003;mmol/l;3,1;5,2;;Chemie
45;K;Kalium;Kalium;07.02.2003;mmol/l;3,7;5,8;;Chemie
45;K;Kalium;Kalium;07.02.2003;mmol/l;3,5;5,1;;Chemie
46;CA;Calcium;Calcium;07.02.2003;mg/dl;8,5;10,6;;Chemie
47;TRANSFER;Transferrin;Transferrin;07.02.2003;mg/dl;151;353;;Chemie
47;TRANSFER;Transferrin;Transferrin;07.02.2003;mg/dl;200;300;;Chemie
48;ANA;Antinukleäre Antikör;Zellkerne (ANA);07.02.2003;Titer;;;< 1: 80;Autoantikörper
49;DS_DNS;Ak g. Doppelstrang-D;Doppelstrang-DNA (IFT);07.02.2003;Titer;;;< 1: 20;Autoantikörper
50;A_HBC;Anti-HBc;Anti-HBc;07.02.2003;;;;negativ;Infektserologie
52;HBs-Ag;HBs Antigen;HBs-Antigen;07.02.2003;;;;negativ;Infektserologie
54;HCV;Anti-HCV (CLIA);Anti-HCV (CLIA);07.02.2003;;;;negativ;Chemie
56;GBM_IFT;Ak g. glomerul. Basa;GBM (IFT);07.02.2003;Titer;;;< 1: 10;Autoantikörper
57;GBM_ELIS;Ak g. glomerul. Basa;GBM (EIA) alt;07.02.2003;U/ml;;21;;Autoantikörper
58;C_ANCA;anti-Proteinase 3;Proteinase 3 (EIA) alt;07.02.2003;U/ml;;21;;Autoantikörper
59;P_ANCA;anti-Myeloperoxidase;Myeloperoxidase (EIA) alt;07.02.2003;U/ml;;21;;Autoantikörper
60;C_F_ANCA;c-ANCA;c-ANCA (IFT);07.02.2003;;;;negativ;Autoantikörper
61;P_F_ANCA;p-ANCA;p-ANCA (IFT);07.02.2003;;;;negativ;Autoantikörper
62;CRP;CRP;CRP;07.02.2003;mg/dl;;0,5;;Chemie
63;HIV-1/2;HIV-1/2 (CLIA);HIV-1/2 (CLIA);07.02.2003;;;;negativ;Chemie
66;CMV_G;CMV IgG (CLIA);CMV IgG (CLIA);07.02.2003;AU/ml;;15;;Infektserologie
67;CMV_M;CMV IgM (CLIA);CMV IgM (CLIA);07.02.2003;;;;negativ;Infektserologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;5;19,5;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;5;20;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;4,5;13,5;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;4,5;13;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;5;14,5;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;5,5;15,5;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;5;21;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;6;17,5;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;9,4;34;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;6;17;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;4,5;11;;Hämatologie
69;LEUKO;Leukozyten;Leukozyten;07.02.2003;/nl;4;10;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;2,7;4,9;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,9;5,3;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;4;6,6;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3;5,5;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;2,7;4,9;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,1;4,5;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,7;5,3;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,6;6,2;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3;5,5;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,9;6,3;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,1;4,5;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,7;5,3;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;4,2;6;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;4;5,2;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;4,5;5,3;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;4;6,6;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,9;6,3;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,6;6,2;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;4,2;6;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;3,9;5,3;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;4,1;5,1;;Hämatologie
70;ERY;Erythrozyten;Erythrozyten;07.02.2003;/pl;4;5,2;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;12;18;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;13,5;21,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;12,5;20,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;9,5;13,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;9;14;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;10;18;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;14,5;22,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;13;16;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;11,5;15,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;11,5;13,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;10,5;13,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;12;16;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;11,5;15,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;11,5;13,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;10,5;13,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;9,5;13,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;9;14;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;10;18;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;12,5;20,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;13,5;21,5;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;14;18;;Hämatologie
71;HB;Hämoglobin;Hämoglobin;07.02.2003;g/dl;14,5;22,5;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;37;50;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;37;49;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;37;50;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;35;45;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;34;40;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;33;39;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;29;41;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;28;42;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;31;55;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;39;63;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;42;66;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;42;66;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;39;63;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;31;55;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;28;42;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;29;41;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;33;39;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;34;40;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;35;45;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;36;46;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;45;67;;Hämatologie
72;HKT;HKT;Hämatokrit;07.02.2003;%;45;67;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;80;100;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;78;102;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;88;126;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;95;121;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;77;95;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;75;87;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;70;86;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;74;108;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;77;115;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;85;123;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;86;124;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;88;126;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;95;121;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;78;98;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;77;95;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;75;87;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;70;86;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;74;108;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;77;115;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;85;123;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;86;124;;Hämatologie
73;MCV;MCV;MCV;07.02.2003;fl;80;100;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;26;34;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;25;35;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;25;33;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;24;30;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;23;31;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;25;35;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;26;34;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;28;40;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;25;35;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;25;33;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;24;30;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;23;31;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;25;35;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;28;32;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;28;40;;Hämatologie
74;MCH;MCH;MCH;07.02.2003;pg;28;32;;Hämatologie
75;MCHC;MCHC;MCHC;07.02.2003;g/dl;29,5;36;;Hämatologie
75;MCHC;MCHC;MCHC;07.02.2003;g/dl;28;38;;Hämatologie
75;MCHC;MCHC;MCHC;07.02.2003;g/dl;29;37;;Hämatologie
75;MCHC;MCHC;MCHC;07.02.2003;g/dl;30;36;;Hämatologie
75;MCHC;MCHC;MCHC;07.02.2003;g/dl;31;37;;Hämatologie
75;MCHC;MCHC;MCHC;07.02.2003;g/dl;29;37;;Hämatologie
76;THROM;Thrombozyten;Thrombozyten;07.02.2003;/nl;150;450;;Hämatologie
76;THROM;Thrombozyten;Thrombozyten;07.02.2003;/nl;120;450;;Hämatologie
76;THROM;Thrombozyten;Thrombozyten;07.02.2003;/nl;150;400;;Hämatologie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;440;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;130;530;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;55;305;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;130;530;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;60;270;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;40;120;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;70;350;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;125;320;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;60;270;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;125;320;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;370;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;40;120;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;40;120;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;40;120;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;370;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;440;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;370;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;440;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;470;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;530;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;150;470;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;125;320;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;110;525;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;160;500;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;70;350;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;70;350;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;60;320;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;60;320;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;60;320;;Chemie
79;AP;Alk.Phosphatase;Alk.Phosphatase;07.02.2003;U/l;160;500;;Chemie
80;AMYL;Amylase;Amylase;07.02.2003;U/l;0;50;;Chemie
80;AMYL;Amylase;Amylase;07.02.2003;U/l;28;100;;Chemie
80;AMYL;Amylase;Amylase;07.02.2003;U/l;0;100;;Chemie
80;AMYL;Amylase;Amylase;07.02.2003;U/l;0;10;;Chemie
81;BILI;Bilirubin gesamt;Bilirubin gesamt;07.02.2003;mg/dl;0,3;1,2;;Chemie
81;BILI;Bilirubin gesamt;Bilirubin gesamt;07.02.2003;mg/dl;;9;;Chemie
81;BILI;Bilirubin gesamt;Bilirubin gesamt;07.02.2003;mg/dl;1,4;8,7;;Chemie
81;BILI;Bilirubin gesamt;Bilirubin gesamt;07.02.2003;mg/dl;;1,2;;Chemie
81;BILI;Bilirubin gesamt;Bilirubin gesamt;07.02.2003;mg/dl;3,4;11,5;;Chemie
81;BILI;Bilirubin gesamt;Bilirubin gesamt;07.02.2003;mg/dl;1,5;12;;Chemie
82;G-GT;G-GT;G-GT;07.02.2003;U/l;0;26;;Chemie
82;G-GT;G-GT;G-GT;07.02.2003;U/l;;55;;Chemie
82;G-GT;G-GT;G-GT;07.02.2003;U/l;0;29;;Chemie
82;G-GT;G-GT;G-GT;07.02.2003;U/l;0;31;;Chemie
82;G-GT;G-GT;G-GT;07.02.2003;U/l;0;87;;Chemie
82;G-GT;G-GT;G-GT;07.02.2003;U/l;0;185;;Chemie
83;LIP;Lipase;Lipase;07.02.2003;U/l;;67;;Chemie
84;GOT;GOT;GOT;07.02.2003;U/l;0;46;;Chemie
84;GOT;GOT;GOT;07.02.2003;U/l;0;50;;Chemie
84;GOT;GOT;GOT;07.02.2003;U/l;0;72;;Chemie
84;GOT;GOT;GOT;07.02.2003;U/l;0;53;;Chemie
84;GOT;GOT;GOT;07.02.2003;U/l;0;31;;Chemie
84;GOT;GOT;GOT;07.02.2003;U/l;;50;;Chemie
85;GPT;GPT;GPT;07.02.2003;U/l;;50;;Chemie
85;GPT;GPT;GPT;07.02.2003;U/l;0;36;;Chemie
85;GPT;GPT;GPT;07.02.2003;U/l;0;32;;Chemie
85;GPT;GPT;GPT;07.02.2003;U/l;0;54;;Chemie
85;GPT;GPT;GPT;07.02.2003;U/l;0;44;;Chemie
86;LDH;LDH;LDH;07.02.2003;U/l;;247;;Chemie
86;LDH;LDH;LDH;07.02.2003;U/l;;271;;Chemie
86;LDH;LDH;LDH;07.02.2003;U/l;;323;;Chemie
86;LDH;LDH;LDH;07.02.2003;U/l;;316;;Chemie
86;LDH;LDH;LDH;07.02.2003;U/l;;344;;Chemie
86;LDH;LDH;LDH;07.02.2003;U/l;;451;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;270;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;247;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;149;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;228;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;203;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;295;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;652;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;712;;Chemie
87;CK;CK;CK;07.02.2003;U/l;;171;;Chemie
88;QUICK;Quick;Quick;07.02.2003;%;70;130;;Gerinnung
88;QUICK;Quick;Quick;07.02.2003;%;58;100;;Gerinnung
88;QUICK;Quick;Quick;07.02.2003;%;55;100;;Gerinnung
88;QUICK;Quick;Quick;07.02.2003;%;65;100;;Gerinnung
89;INR;INR;INR;07.02.2003;;;1,3;;Gerinnung
90;PTT;PTT;PTT;07.02.2003;sec;;54,5;;Gerinnung
90;PTT;PTT;PTT;07.02.2003;sec;25,4;59,8;;Gerinnung
90;PTT;PTT;PTT;07.02.2003;sec;32;55,2;;Gerinnung
90;PTT;PTT;PTT;07.02.2003;sec;27,1;53,3;;Gerinnung
90;PTT;PTT;PTT;07.02.2003;sec;25,1;36,5;;Gerinnung
90;PTT;PTT;PTT;07.02.2003;sec;29;50,1;;Gerinnung
91;PH;pH;pH;07.02.2003;;7,35;7,45;;Chemie
92;PO2;pO2;pO2;07.02.2003;mmHg;70;105;;Chemie
93;PCO2;pCO2;pCO2;07.02.2003;mmHg;35;45;;Chemie
94;HCO3;HCO3;HCO3;07.02.2003;mmol/l;22;26;;Chemie
95;BE;BE;BE;07.02.2003;mmol/l;-3;3;;Chemie
96;O2-SAT;O2-Sättigung;O2-Sättigung;07.02.2003;%;90;100;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,62;8,11;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,45;4,02;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;4,7;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,45;4,02;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,65;4,21;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,65;4,21;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,65;4,21;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,56;3,84;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,35;5,82;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,68;4,51;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,68;4,51;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,68;4,51;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,71;3,68;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;4,7;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;5,3;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,4;4,7;;Chemie
97;TSH;TSH (sensitiv);TSH;07.02.2003;mU/l;0,71;3,68;;Chemie
